,nota,nota_aleatoria,nota_reconstruida
0,4.0,3.4897575414924598,3.951418285489061
0,4.0,1.0402231597100742,0.5869145190488785
0,4.0,4.64822526236937,2.6733295046248795
0,4.0,4.300553986117238,2.593907294433211
0,5.0,2.414311258957151,3.1782955141294353
0,3.0,3.6054720319604128,2.5306769662091866
0,3.5,2.2016086288284638,1.5310124595727852
0,2.0,2.3859815164568356,2.4605979869998196
0,3.0,3.012824089879176,2.2212367406427997
0,4.0,4.302600684832356,2.1084639049080725
0,3.5,1.2389508484817209,2.351286668411171
0,5.0,1.3403973883439084,2.8722455285796338
0,3.5,4.602482708265233,4.459194544170701
0,4.0,4.893547179150735,4.114840058783781
0,3.5,4.259488215402713,2.5165966178937653
0,4.0,0.4950613910207635,0.5040514160032763
0,3.5,3.172420893747769,3.3693108302908437
0,2.0,2.8682693470459917,2.5518001435270885
0,2.5,4.656722213402235,4.481767672816797
0,2.0,3.6070031918543903,3.237388395779059
