,nota,nota_aleatoria,nota_reconstruida
0,4.0,4.812614317078896,4.758064303242228
0,3.5,2.0968541379283145,2.055263479986512
0,3.0,2.253369027828903,1.2183990683596457
0,4.0,1.0311881460770733,1.1320510938201664
0,4.0,1.2434132870463084,1.1439739528916428
0,4.0,1.9926190805221893,1.9587150809386105
0,3.0,0.35700017578357,0.4449890123076462
0,4.0,0.719096701701406,0.9482780807170269
0,3.5,4.959609706381146,1.4199519680057167
0,4.5,2.846411572704526,1.792434950105422
0,5.0,0.23103983341252354,2.5575300685372686
0,3.5,2.36033073644155,0.8832433211000372
0,2.0,2.9382806031967683,2.6118327826130736
0,4.5,2.7075360836458424,1.1434013204883142
0,1.0,4.219416880958743,4.141832467003463
0,5.0,3.212848053651274,3.4519269522543237
0,4.0,2.743028978718662,3.072393348228055
0,4.0,3.644952997410437,3.0901371845792753
0,3.5,0.4770614554235453,0.9119513875404044
0,2.5,1.3580492577861125,0.05049805715604917
0,3.0,0.1616265141951162,0.7154214052189694
0,3.5,1.6166658944766854,0.45938266079094525
0,2.5,1.9560351213901828,1.900028872798858
0,2.0,2.8794177680434196,3.4292602816150364
0,3.0,4.787906167470993,1.2745692801605208
0,4.5,2.09977422834811,1.538432986166097
0,3.0,4.586391747280948,1.5543770000265456
0,4.0,2.910771024579995,2.7220637045530514
0,3.0,4.1789432422657775,4.955738612519564
0,3.0,0.7921976260086838,1.443104996937679
0,3.0,0.8416738638464166,0.04453122035360975
0,2.5,0.5320812959198046,0.8051659027035656
0,3.0,0.901762752275011,1.189223170614647
0,5.0,2.309627081888655,2.2675963047616565
0,4.0,2.0605756068944396,2.1273565246132815
0,4.0,0.3020114397035045,-0.2818294665982861
0,4.0,3.1529495039101425,0.820374308864682
0,2.5,3.178679544736162,1.681531731782612
0,2.0,2.64783380789296,2.7782994667117267
0,2.0,3.0262588937519936,2.463304007488444
0,3.0,1.3299642517288035,0.13684157602844751
0,2.0,2.810978277518055,2.6271876495338513
0,4.0,4.373696873156022,4.386499608599163
0,5.0,4.173222211935288,4.122629629664929
0,3.0,0.32707459276792417,0.006721638702492294
0,4.0,4.795454966669193,4.540505025190636
0,4.0,2.840969812114376,2.6636176684431003
0,0.5,2.5776322260495528,1.1143089374786501
0,3.0,2.55382763507938,1.2959561826482304
0,2.0,2.1345464475698273,2.2407903031885033
0,4.0,3.9040559618998727,3.279258438300001
0,4.0,1.8017044103380058,3.2237501802015003
0,5.0,4.562189400135284,4.720000711040379
0,3.0,2.479247079281876,1.9363922013775317
0,3.5,0.39749904946115744,0.4782316416799709
0,4.0,0.8063128965818933,0.49428914430651477
0,2.0,2.4471301066915334,1.6659521094065441
0,4.0,2.4906836245468877,2.333279721696352
0,3.5,1.8538527897635588,1.4737283887567312
0,2.5,0.24774948913017347,0.25094864907796544
0,4.0,1.9568830717032837,1.0953717536996392
0,3.0,0.5450860593735274,0.5352394364860182
0,4.5,3.654394551786791,1.1022630185530466
0,3.0,3.121237146341609,2.5927157481108294
0,3.0,4.003191053546292,3.297912624668683
0,4.0,0.3410128606584367,0.09237999946206793
0,4.0,4.070525750417938,3.584283810902051
0,4.0,2.0533136710181084,1.7327419762092646
0,5.0,2.105146548064498,1.543439465726971
0,4.0,2.937687439366096,2.939631868115617
0,4.0,2.9340415520148393,2.6198385876741086
0,5.0,3.155698799209497,2.109638211441333
0,4.0,3.7710664218401084,3.8571537921337287
0,3.5,2.66039916517439,2.577903448985375
0,5.0,4.17631830982155,2.9066455715433017
0,4.0,1.5853582983540364,1.3407694900138336
0,4.0,0.8638177793406299,0.8079854100867327
0,4.0,3.465831000653514,2.299542620775913
0,5.0,2.077027862508731,2.0253797840507164
0,5.0,4.282118926894535,4.155052674955482
0,2.0,3.061381449893481,1.0617188452953625
0,1.0,1.345595421152146,1.3470107029634266
0,5.0,0.5572574948621739,1.3141878545399612
0,2.0,3.050799948484912,3.2327668944771175
0,3.0,1.8820353520720334,1.8071376804148236
0,3.5,0.9335083810902067,0.9830244040875598
0,3.0,3.2365817227646603,1.10515679138515
0,3.5,2.0870074803879675,0.35441555508739575
0,4.5,0.06479742561476487,-0.058540924598025956
0,4.0,1.3465515231996583,1.9699667125634472
0,4.0,0.025148685771925194,0.05782218074287629
0,3.0,1.3213803169873384,-0.08619392749905641
0,3.0,2.212825396074431,2.2919992451327156
0,5.0,0.9540948320855591,0.9022710248898863
0,3.5,0.10343698404966961,-0.020480776955668523
0,4.5,4.004706048734312,3.6101321808925158
0,3.0,2.359944550876971,1.117641684046842
0,5.0,4.418850709858008,4.508610214974933
0,3.0,0.7529922122150057,0.7623601242751548
0,2.0,4.8653928435546385,0.2262042011170018
